Row_Labels,Count_AnimalName
K.,1
K.C,1
K.C.,6
K.O.,2
K9,1
K-9,1
KAAYA,1
KABBIE,1
KABEL,1
KABOOZE,1
KABUKI,2
KABUKI-ANN,1
KACEE,2
KACEY,10
KACI,2
KACIE,1
KACY,4
KADEEN,1
KADEN,2
KADIEN,1
KADIN,1
KADIRA,1
KADLEKAI,1
KADO,2
KADU,1
KADY,1
KAELA,1
KAELAH,1
KAFKA,2
KAGA,1
KAGAN,1
KAHLEYA,1
KAHLO,2
KAHLUA,12
KAHN,1
KAHULA,1
KAHUNA,2
KAHVE,1
KAI,26
KAI',1
KAIA,2
KAIBA,1
KAIDA,1
KAIDEN,1
KAIDO,1
KAIJEE,1
KAIJU,3
KAIKAI,1
KAILA,2
KAILANI,2
KAILEE,1
KAILEY,2
KAILI,1
KAILO,1
KAILY,1
KAIN,1
KAINE,3
KAIOKO,1
KAIOUS,1
KAIPO,1
KAIRA,1
KAIRI,4
KAIRO,4
KAISER,25
KAITLYN,1
KAIYA,5
K-AIYAH,1
KAIYUH,1
KAIZER,2
KAJ,1
KAJA,4
KAKA,4
KAKIE,1
KALA,4
KALAMAZOO,1
KALBEE,1
KALBI,1
KALE,2
KALEEFS,1
KALEESI,1
KALEIGH,2
KAL-EL,2
KALEY,2
KALI,29
KALIE,1
KALIN,2
KALISI,2
KALISKA,1
KALKIDAN,1
KALLALOO,1
KALLI,1
KALLIE,3
KALMAN,1
KALOKO,1
KALONA,1
KALU,2
KALUA,3
KALUMBA,1
KALVIN,1
KALY,3
KAM,1
KAMA,1
KAMBO,1
KAMI,7
KAMIKO,1
KAMILA,2
KAMILLA,1
KAMRIN,1
KANCHO,1
KANDI,3
KANDINSKY,1
KANDY,6
KANE,34
KANEI,1
KANG,1
KANGA,1
KANI,1
KANO,3
KANOOK,1
KANSAS,2
KANUI,1
KANUSHI,1
KANY,2
KANYA,2
KANYE,6
KAOS,7
KAPI,1
KAPITOLINA,1
KAPLAN,1
KAPO,1
KAPPY,1
KAPRIZ,1
KAPTAIN,1
KARA,5
KARAMEL,1
KARATE,1
KAREN,1
KARI,2
KARIN,1
KARISMA,1
KARJANI,1
KARL,7
KARLA,6
KARLIE,1
KARLITA,1
KARLY,1
KARMA,32
KARMEN,1
KARMIE,1
KARO,1
KARRIE,1
KARUS,1
KARUSHKA,1
KASANDRA,1
KASCHEU,2
KASE,1
KASEY,15
KASEYANN,1
KASH,5
KASHA,5
KASHI,4
KASHIMA,1
KASHMA,1
KASPER,11
KASPUR,1
KASSIE,2
KASSIUS,1
KAT,1
KATA,1
KATANA,3
KATARA,1
KATE,14
KATELAND,1
KATELYN,1
KATERINA,1
KATHARINE,1
KATHERINE,3
KATHRYN,1
KATHY,3
KATIA,2
KATIE,82
KATIE-MAY,1
KATIE-SHELBY,1
KATNISS,4
KATO,20
KATOGO,1
KATRINA,3
KATSU,2
KATTY,1
KATY,12
KATYA,2
KAVIN,1
KAWAII,2
KAY,3
KAYA,23
KAYAS,1
KAYCEE,6
KAYCIE,1
KAYDEN,3
KAYLA,29
KAYLAH,1
KAYLE,1
KAYLEE,13
KAYLEEN,1
KAYLEIGH,2
KAYLEY,1
KAYLIAH,1
